公開,
見出し,最終結果
説明文,本日のチーム戦、最終結果をお届けします。
更新時刻,7/23 16:30
表示数,
順位,チーム名,ポイント,成立ホール
1,34組,+58,18
2,26組,+51,18
3,28組,+47,18
4,21組,+46,18
5,13組,+45,18
6,31組,+43,18
7,22組,+42,18
8,18組,+41,18
9,9組,+40,18
10,2組,+39,18
11,23組,+37,18
12,1組,+36,18
13,7組,+34,18
14,8組,+32,18
15,25組,+30,18
16,5組,+29,18
17,27組,+26,18
18,32組,+23,18
19,14組,+21,18
20,29組,+19,18
21,4組,+15,18
22,3組,+13,18
23,20組,+12,18
24,30組,+9,18
25,15組,+7,18
26,24組,+5,18
27,11組,+4,18
28,33組,+2,18
29,17組,0,18
30,10組,-1,18
31,19組,-3,18
32,6組,-4,18
33,16組,-6,18
34,12組,-8,18
